model,index,period,dist,seed,n,exceptions,expected,var_mean,var_std,p_uc,p_cc,p_ind,p_dq,lopez,caporin_reg,caporin_firm
garch,spx,2017,normal,,250,4,6.25,-0.011257333155074128,0.0015951310573505035,0.32961526319804,0.6217579568519986,1.0,0.9808329150351465,4.000110005112749,-1.7957641594273552,264.55553463142996
garch,spx,2017,skewt,,250,4,6.25,-0.011770865447921108,0.002112586151054303,0.32961526319804,0.6217579568519986,1.0,0.9795761630669079,4.000109643741705,-1.7383610249752048,263.8129199063763
garch,spx,2017,t,,250,4,6.25,-0.01099570204799629,0.0019427963287731024,0.32961526319804,0.6217579568519986,1.0,0.9801281551544877,4.00013196987656,-2.1151990107173697,264.77751810746946
garch,spx,2020,normal,,250,12,6.25,-0.030777282041134536,0.02580499945041359,0.038280278413802216,0.1169203418050705,1.0,0.007067676904455311,12.003425656577797,-6.817957206172865,259.2670994265294
garch,spx,2020,skewt,,250,9,6.25,-0.036352094584316076,0.030696336931048535,0.29542798548340243,0.5784752519504809,1.0,0.09235439164743975,9.002227503835252,-4.545150233453417,257.61520809356557
garch,spx,2020,t,,250,10,6.25,-0.03318822301789179,0.028350682056541152,0.16172062359665362,0.3756747547762167,1.0,0.0027650705165608302,10.002867699388382,-5.960773436771427,258.4663765651545
garch,wig20,2009,normal,,250,4,6.25,-0.04354608847421598,0.00641803927898819,0.32961526319804,0.6217579568519986,1.0,0.981964088982677,4.001484276708412,-1.4761602380810845,257.12938248485614
garch,wig20,2009,skewt,,250,4,6.25,-0.04510648703825741,0.006368727165422761,0.32961526319804,0.6217579568519986,1.0,0.9829152891043786,4.0013048905182425,-1.3001441400780123,256.84392870274604
garch,wig20,2009,t,,250,4,6.25,-0.04419120254802038,0.006143738358481522,0.32961526319804,0.6217579568519986,1.0,0.9827586418481381,4.001421248582622,-1.4090166695432174,256.97856252676206
garch,wig20,2011,normal,,250,9,6.25,-0.028283847190357536,0.012937541899291017,0.29542798548340243,0.34974882327486834,0.3157762037622527,0.3302299152011642,9.001915972813768,-3.782220737985382,239.37290354782678
garch,wig20,2011,skewt,,250,9,6.25,-0.028989762443170575,0.013401196267090512,0.29542798548340243,0.34974882327486834,0.3157762037622527,0.3300669751883074,9.001784241626742,-3.5863077418200264,239.56235014503451
garch,wig20,2011,t,,250,9,6.25,-0.028734581221683028,0.013104378055492236,0.29542798548340243,0.34974882327486834,0.3157762037622527,0.33024279746177143,9.001835757408337,-3.6235127312229016,239.4908103122524
